bird_id,model,top1_acc,dist_km_median
91813A,markov,0.5560344827586207,24.65637226551115
91813A,persistence,0.7465106732348111,24.65637226551115
91814A,markov,0.5646054432049319,23.705796981461134
91814A,persistence,0.8332061830861471,9.838063691630603
91819A,markov,0.6370773524720893,15.552459821124675
91819A,persistence,0.6356419457735247,15.552459821124675
91821A,markov,0.3678571428571429,1189.7059781872476
91821A,persistence,0.7561904761904762,26.729205194788054
91823A,markov,0.4038659178404562,23.90795523583743
91823A,persistence,0.7182279581263856,13.65256338330567
91824A,markov,0.6175268817204301,15.66007317983567
91824A,persistence,0.7308602150537634,15.53747247691778
91826A,markov,0.13717152412804587,3467.3592387538556
91826A,persistence,0.6027038179212092,25.282339493522603
91831A,markov,0.5073391363713945,29.13697439421708
91831A,persistence,0.5526540365250043,28.12164002120385
91832A,markov,0.5137409797070126,31.38152008075124
91832A,persistence,0.7137705479774746,23.014502275964972
91836A,markov,0.4483870967741936,24.54356311973288
91836A,persistence,0.8621505376344085,17.96797260961843
91837A,markov,0.30419004680043343,172.32675203263457
91837A,persistence,0.5215409286731639,28.009925579982777
91845A,markov,0.08333333333333333,1541.4224916232324
91845A,persistence,0.5085794581762323,24.983631683617205
91846A,markov,0.2558670421573647,46.027964828295495
91846A,persistence,0.4536164169579317,31.395877253278087
91849A,markov,0.394017094017094,25.060946638335437
91849A,persistence,0.4649572649572649,24.214871721329867
91852A,markov,0.5708333333333333,11.34573326108578
91852A,persistence,0.8597222222222222,11.34573326108578
91861A,markov,0.585752688172043,23.580027175544267
91861A,persistence,0.6205495818399044,19.89848326935864
91862A,markov,0.6443183983225244,23.04082074831556
91862A,persistence,0.8552300954026385,22.953487318840644
91864A,markov,0.4380704892735367,22.622013207175424
91864A,persistence,0.8028355849596508,13.455423296199648
91865A,markov,0.7735042735042734,21.202766690032853
91865A,persistence,0.7735042735042734,21.202766690032853
91870A,markov,0.5430555555555555,18.771022858107155
91870A,persistence,0.6097222222222222,18.771022858107155
91871A,markov,0.33416666666666667,1727.021504770194
91871A,persistence,0.7875,26.259897200532933
91872A,markov,0.6168831168831169,25.630760009249972
91872A,persistence,0.764069264069264,25.49080012976039
91877A,markov,0.371875,1657.7163601067489
91877A,persistence,0.5952083333333333,19.937010842522483
91878A,markov,0.8335637480798771,20.853118211199774
91878A,persistence,0.8197388632872504,20.853118211199774
91881A,markov,0.35618279569892475,3404.501098770189
91881A,persistence,0.703763440860215,25.6348172094577
91884A,markov,0.440422322775264,21.226021839559568
91884A,persistence,0.7420814479638009,21.226021839559568
91893A,markov,0.5177777777777778,26.636291850728643
91893A,persistence,0.5177777777777778,28.04991495144465
91900A,markov,0.38963210702341133,32.37104913154846
91900A,persistence,0.5635451505016722,19.551675617790586
91903A,markov,0.11226851851851852,2340.856462805787
91903A,persistence,0.7066203703703704,22.931768933592828
91907A,markov,0.21979166666666666,3746.3328071377537
91907A,persistence,0.5538546466973886,23.842037766498017
91908A,markov,0.41964285714285715,41.66586210042392
91908A,persistence,0.4285714285714286,21.106358940811248
91910A,markov,0.35326784561040975,30.93894282710707
91910A,persistence,0.7587632063479868,26.466093691900795
91911A,markov,0.2808333333333334,4331.041503145252
91911A,persistence,0.794469696969697,18.19661793856259
91916A,markov,0.2796725704767011,1041.788341572597
91916A,persistence,0.7313985260743493,13.595534101571676
91920A,markov,0.5916666666666667,17.43898500662575
91920A,persistence,0.625,17.358002305760856
